poc_group	file	rgba_hbo_bytes	tiffcp_hbo_bytes	max_hbo_bytes
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.Paf	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.4SX	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.QlY	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.6Ue	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.u3c	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.MOE	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiffcp_AAH016.Hy3	-	1	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.PwB	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.W0U	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.Ejx	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.vqi	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiffcp_AAH016.Q9Q	-	1	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.hIW	1	-	1
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.fMN	82	82	82
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.w8h	54	54	54
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.E57	128	128	128
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.kh9	32	32	32
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.JuM	405	405	405
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.Xmm	3498	3498	3498
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.zO6	1728	1728	1728
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.nlg	584	584	584
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.x6L	12	12	12
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.IMS	1008	1008	1008
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.l2s	64	64	64
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.EV8	48	48	48
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.iVl	256	256	256
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.6Cc	54	54	54
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.qZD	82	82	82
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.RzN	280	280	280
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.KEG	337	337	337
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.rHK	234	234	234
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.lXw	82	82	82
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.Qjd	337	337	337
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.mAn	592	592	592
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.vTf	22	22	22
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.3gp	583	583	583
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.PEF	234	234	234
