poc_group	file	rgba_hbo_bytes	tiffcp_hbo_bytes	max_hbo_bytes
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.Paf	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.4SX	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.QlY	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.6Ue	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.u3c	1	-	1
AAH009	targets/libtiff/poc/AAH009/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH009.MOE	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiffcp_AAH016.Hy3	-	1	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.PwB	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.W0U	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.Ejx	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.vqi	1	-	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiffcp_AAH016.Q9Q	-	1	1
AAH016	targets/libtiff/poc/AAH016/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH016.hIW	1	-	1
AAH010	targets/libtiff/poc/AAH010/moptafl_libtiff_tiff_read_rgba_fuzzer_AAH010.x6L	12	12	12
