id	poc_group	file	program	rc	asan_hit	bug_type	access	boundary_distance	side	summary	log
0001	JCH201	targets/poppler/poc/JCH201/moptafl_poppler_pdfimages_JCH201.L0C	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff97500254 thread T0	428	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_poc_logs_asan_rerun/pdfimages_L0C.log
0002	JCH201	targets/poppler/poc/JCH201/moptafl_poppler_pdfimages_JCH201.TUn	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffa1500344 thread T0	188	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_poc_logs_asan_rerun/pdfimages_TUn.log
0003	JCH201	targets/poppler/poc/JCH201/moptafl_poppler_pdfimages_JCH201.aBw	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff9a20c2a4 thread T0	348	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_poc_logs_asan_rerun/pdfimages_aBw.log
0004	JCH201	targets/poppler/poc/JCH201/moptafl_poppler_pdftoppm_JCH201.RCT	pdftoppm	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffaeb00344 thread T0	188	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_poc_logs_asan_rerun/pdftoppm_RCT.log
0001	AAH048	targets/poppler/poc/New-pocs/AAH048/honggfuzz_poppler_pdftoppm_AAH048.Bwb	pdftoppm	0	NO	-	-	-	-	-	/tmp/poppler_new_pocs_logs/logs/0001_honggfuzz_poppler_pdftoppm_AAH048.Bwb.log
0002	AAH048	targets/poppler/poc/New-pocs/AAH048/honggfuzz_poppler_pdftoppm_AAH048.dGf	pdftoppm	0	NO	-	-	-	-	-	/tmp/poppler_new_pocs_logs/logs/0002_honggfuzz_poppler_pdftoppm_AAH048.dGf.log
0003	AAH048	targets/poppler/poc/New-pocs/AAH048/honggfuzz_poppler_pdftoppm_AAH048.zn3	pdftoppm	134	YES	heap-buffer-overflow	READ of size 1 at 0xffffa2494614 thread T0	0	right	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/splash/Splash.cc:5705:21 in Splash::blitTransparent(SplashBitmap*, int, int, int, int, int, int)	/tmp/poppler_new_pocs_logs/logs/0003_honggfuzz_poppler_pdftoppm_AAH048.zn3.log
0004	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.11g	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffae8002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0004_aflplusplus_poppler_pdfimages_JCH201.11g.log
0005	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.1ax	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffffa9b002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0005_aflplusplus_poppler_pdfimages_JCH201.1ax.log
0006	JCH201	targets/poppler/poc/New-pocs/JCH201/aflplusplus_poppler_pdfimages_JCH201.9Pl	pdfimages	134	YES	heap-buffer-overflow	READ of size 4 at 0xffff8b7002cc thread T0	308	left	SUMMARY: AddressSanitizer: heap-buffer-overflow /users/hz3078/magma/targets/poppler/repo/poppler/XRef.cc:1680:33 in XRef::getEntry(int, bool)	/tmp/poppler_new_pocs_logs/logs/0006_aflplusplus_poppler_pdfimages_JCH201.9Pl.log
